vid,name,Site,Groupe,prefix,Entité,status,Rôle,description,IDENTIFIANT,Groupe de locataires,Rôle Q-in-Q,SVLAN Q-in-Q,Commentaires,Étiquettes,L2VPN,Créé,Dernière mise à jour
103,NOTRUST_HZ_PERS,,,172.24.192.0/18,,Active,,[NO TRUST] Wi-Fi personnels,101,,,,,,,2025-05-28T12:58:07.492873+00:00,2025-06-02T14:36:13.117892+00:00
104,ZRR_HDS_HZ,,,172.17.16.0/20,,Active,,[ZRR] Heudiasyc Wifi,102,,,,,,,2025-05-28T12:58:07.515557+00:00,2025-06-02T14:36:38.236930+00:00
105,ZRR_ROB,,,172.17.32.0/20,,Active,,[ZRR] Laboratoire Roberval,103,,,,,,,2025-05-28T12:58:07.545374+00:00,2025-06-02T14:37:00.368790+00:00
106,ZRR_ROB_HZ,,,172.17.48.0/20,,Active,,[ZRR] Laboratoire Roberval Wifi,104,,,,,,,2025-05-28T12:58:07.562411+00:00,2025-06-02T14:37:20.253167+00:00
107,BMBI_PLATFORMS,,,172.28.16.0/22,,Active,,BMBI Plateformes,105,,,,,,,2025-05-28T12:58:07.581304+00:00,2025-06-02T14:37:36.847565+00:00
108,FABLAB,,,172.28.20.0/22,,Active,,Equipements Fablab,106,,,,,,,2025-05-28T12:58:07.615695+00:00,2025-06-02T14:38:00.856599+00:00
109,AVENUES_PLATFORMS,,,172.28.24.0/22,,Active,,Avenues Plateformes,107,,,,,,,2025-05-28T12:58:07.643279+00:00,2025-06-02T14:38:54.524188+00:00
110,COSTECH_PLATFORMS,,,172.28.28.0/22,,Active,,Costech Plateformes,108,,,,,,,2025-05-28T12:58:07.662827+00:00,2025-06-02T14:39:34.833587+00:00
111,GEC_PLATFORMS,,,172.28.32.0/22,,Active,,GEC Plateformes,109,,,,,,,2025-05-28T12:58:07.679053+00:00,2025-06-02T14:40:09.338650+00:00
112,TIMR_PLATFORMS,,,172.28.36.0/22,,Active,,TIMR Plateformes,110,,,,,,,2025-05-28T12:58:07.696413+00:00,2025-06-02T14:40:43.398854+00:00
113,VLAN_PVE,,,192.168.9.0/24,,Active,,Noeuds PVE,111,,,,,,,2025-05-28T12:58:07.741660+00:00,2025-06-02T14:41:15.582228+00:00
114,OLD-VLAN_KUBE-OLD,,,192.168.10.0/24,,Active,,"Non utilisé, gardé pour correspondre au no de vrf",112,,,,,,,2025-05-28T12:58:07.760325+00:00,2025-06-02T14:42:03.162416+00:00
115,DMZ_BMBI_SERVERS,,,,,Active,,Serveurs BMBI,113,,,,,,,2025-05-28T12:58:07.778121+00:00,2025-06-02T14:42:33.363690+00:00
116,VLAN_KUBE_DSI,,,,,Active,,Interconnexion Kubernetes 9500 DSI,314,,,,,,,2025-06-02T14:43:30.793876+00:00,2025-06-02T14:43:30.793886+00:00
117,VLAN_KUBE_PG,,,,,Active,,Interconnexion Kube 9500 PG2,315,,,,,,,2025-06-02T14:44:10.707424+00:00,2025-06-02T14:44:10.707435+00:00
118,VLAN_KUBE_BF,,,,,Active,,Interconnexion Kube 9500 BF,316,,,,,,,2025-06-02T14:44:51.191316+00:00,2025-06-02T14:44:51.191327+00:00
224,VLAN_UTSEUS_1,,,192.168.224.0/27,,Active,,UTSEUS 1 (Dynamicité),118,,,,,,,2025-05-28T12:58:07.893165+00:00,2025-06-02T14:46:57.390008+00:00
248,VLAN_SU_VM,,,192.168.248.0/25,,Active,,VM Sorbonne Universités,119,,,,,,,2025-05-28T12:58:07.939083+00:00,2025-06-02T14:48:09.648920+00:00
249,VLAN_EXTSEJ,,,192.168.249.0/24,,Active,,Séjournants Extérieurs,120,,,,,,,2025-05-28T12:58:07.955203+00:00,2025-06-02T14:48:43.169220+00:00
251,VLAN_DMZ_MISC,,,195.83.157.192/27,,Active,,FWSM Machines de Service non SI / @ publiques NON NATées,122,,,,,,,2025-05-28T12:58:07.987716+00:00,2025-06-02T14:49:32.555844+00:00
400,VLAN_IMI_ADM,,,192.168.160.0/24,,Active,,Administration réseau,129,,,,,,,2025-05-28T12:58:08.146462+00:00,2025-06-02T14:51:07.558823+00:00
401,VLAN_IMI_PERS,,,192.168.161.0/24,,Active,,Personnels,130,,,,,,,2025-05-28T12:58:08.163382+00:00,2025-06-02T14:51:28.992416+00:00
402,VLAN_IMI_ETU,,,192.168.162.0/24,,Active,,Etudiants,131,,,,,,,2025-05-28T12:58:08.190117+00:00,2025-06-02T14:51:54.644387+00:00
403,VLAN_IMI_TOIP,,,192.168.163.0/24,,Active,,Telephonie IP,132,,,,,,,2025-05-28T12:58:08.211347+00:00,2025-06-02T14:54:07.800263+00:00
404,VLAN_IMI_CAPTIF,,,192.168.164.0/24,,Active,,Portail Captif,133,,,,,,,2025-05-28T12:58:08.242835+00:00,2025-06-02T14:54:30.396271+00:00
405,VLAN_IMI_CAPTIF_CLT,,,192.168.165.0/24,,Active,,Clients Portail Captif,134,,,,,,,2025-05-28T12:58:08.259491+00:00,2025-06-02T14:54:55.233567+00:00
